LCSC Part Number,product_url,name,brand,sku,description,price,currency,image_url
C575082,https://www.lcsc.com/product-detail/C575082.html,TE Connectivity 745253-2,TE Connectivity,C575082,Connector Terminal Gold Crimp,0.1401,USD,https://assets.lcsc.com/images/lcsc/900x900/20230120_TE-Connectivity-745253-2_C575082_front.jpg
C37635048,https://www.lcsc.com/product-detail/C37635048.html,JXTCONN FC-0518P-100F3,JXTCONN,C37635048,"Flat Flex Jumpers, Cables (FFC, FPC) Assemblies ",0.0496,USD,https://assets.lcsc.com/images/lcsc/900x900/20240813_JXTCONN-FC-0518P-100F3_C37635048_front.jpg
C37635077,https://www.lcsc.com/product-detail/C37635077.html,JXTCONN FC-0518P-100T3,JXTCONN,C37635077,"Flat Flex Jumpers, Cables (FFC, FPC) Assemblies ",0.0496,USD,https://assets.lcsc.com/images/lcsc/900x900/20240813_JXTCONN-FC-0518P-100T3_C37635077_front.jpg
C37635038,https://www.lcsc.com/product-detail/C37635038.html,JXTCONN FC-058P-100F3,JXTCONN,C37635038,"Flat Flex Jumpers, Cables (FFC, FPC) Assemblies ",0.0421,USD,https://assets.lcsc.com/images/lcsc/900x900/20240813_JXTCONN-FC-058P-100F3_C37635038_front.jpg
C37635067,https://www.lcsc.com/product-detail/C37635067.html,JXTCONN FC-058P-100T3,JXTCONN,C37635067,"Flat Flex Jumpers, Cables (FFC, FPC) Assemblies ",0.0421,USD,https://assets.lcsc.com/images/lcsc/900x900/20240813_JXTCONN-FC-058P-100T3_C37635067_front.jpg
C530539,https://www.lcsc.com/product-detail/C530539.html,INGHAi GSPK151035PN-8R0.5W-L35-1.25T,INGHAi,C530539,5% 3Ω Electromagnetic 650Hz 90dB 500mW Speakers RoHS,0.2170,USD,https://assets.lcsc.com/images/lcsc/900x900/20230203_INGHAi-GSPK151035PN-8R0-5W-L35-1-25T_C530539_front.jpg
C5451762,https://www.lcsc.com/product-detail/C5451762.html,HJ Tech HJ-MMCX008,HJ Tech,C5451762,6GHz Inner Bore Board Side -55℃~+125℃ Coaxial Connector (RF) Assemblies RoHS,0.5526,USD,https://assets.lcsc.com/images/lcsc/900x900/20230420_HJ-Tech-HJ-MMCX008_C5451762_front.jpg
C22462841,https://www.lcsc.com/product-detail/C22462841.html,LCSC-boards LCKFB-DAPLINK-SkyStar-EXT,LCSC-boards,C22462841,"Embedded MCU, DSP Evaluation Boards RoHS",6.3350,USD,https://assets.lcsc.com/images/lcsc/900x900/20241127_LCSC-boards-LCKFB-DAPLINK-SkyStar-EXT_C22462841_front.jpg
C41421753,https://www.lcsc.com/product-detail/C41421753.html,LCSC-boards LCKFB-LJPI-FPGA-G1,LCSC-boards,C41421753,"Embedded MCU, DSP Evaluation Boards RoHS",27.3525,USD,https://assets.lcsc.com/images/lcsc/900x900/20241213_LCSC-boards-LCKFB-LJPI-FPGA-G1_C41421753_front.jpg
C22357564,https://www.lcsc.com/product-detail/C22357564.html,LCSC-boards LCKFB-LSPI-Connection Line,LCSC-boards,C22357564,"Embedded MCU, DSP Evaluation Boards RoHS",0.9958,USD,https://assets.lcsc.com/images/lcsc/900x900/20240315_LCSC-boards-LCKFB-LSPI-Connection-Line_C22357564_front.jpg
C32710423,https://www.lcsc.com/product-detail/C32710423.html,LCSC-boards LCKFB-LSPI-SkyStar-STM32F407VGT6-PRO,LCSC-boards,C32710423,"Embedded MCU, DSP Evaluation Boards RoHS",7.7115,USD,https://assets.lcsc.com/images/lcsc/900x900/20240731_LCSC-boards-LCKFB-LSPI-SkyStar-STM32F407VGT6-PRO_C32710423_front.jpg
C7528083,https://www.lcsc.com/product-detail/C7528083.html,ZHONGYI M3*4-cu,ZHONGYI,C7528083,"Board Spacers, Standoffs ",0.00,USD,https://assets.lcsc.com/images/lcsc/900x900/20230831_ZHONGYI-M3-4-cu_C7528083_front.jpg
C22458776,https://www.lcsc.com/product-detail/C22458776.html,ColorEasyDuino Open-ColorEasyDuino-Green,ColorEasyDuino,C22458776,"Embedded MCU, DSP Evaluation Boards RoHS",7.7218,USD,https://assets.lcsc.com/images/lcsc/900x900/20240606_ColorEasyDuino-Open-ColorEasyDuino-Green_C22458776_front.jpg
C279936,https://www.lcsc.com/product-detail/C279936.html, ,,,,0.00,,https://static.lcsc.com/feassets/pc/images/product/no_goods_pic6.jpg
C2965599,https://www.lcsc.com/product-detail/C2965599.html,SHOU HAN SHKJ 1518-0730,SHOU HAN,C2965599,Hinged (Snap On) Round Cable Combination Cable Ferrites RoHS,0.1223,USD,https://assets.lcsc.com/images/lcsc/900x900/20230122_SHOU-HAN-SHKJ-1518-0730_C2965599_front.jpg
C2965598,https://www.lcsc.com/product-detail/C2965598.html,SHOU HAN SHKJ 1730-0730A,SHOU HAN,C2965598,Hinged (Snap On) Round Cable Combination Cable Ferrites RoHS,0.1958,USD,https://assets.lcsc.com/images/lcsc/900x900/20230122_SHOU-HAN-SHKJ-1730-0730A_C2965598_front.jpg
C2916369,https://www.lcsc.com/product-detail/C2916369.html,Sinhoo SMTSO3080CTJ,Sinhoo,C2916369,"Board Spacers, Standoffs RoHS",0.1382,USD,https://assets.lcsc.com/images/lcsc/900x900/20230121_Sinhoo-SMTSO3080CTJ_C2916369_front.jpg
C19274279,https://www.lcsc.com/product-detail/C19274279.html,XYECONN XY-MX1.25-31,XYECONN,C19274279,Connector Terminal PicoBlade(MX 1.25) Tin 28~32 AWG Crimp,0.0024,USD,https://assets.lcsc.com/images/lcsc/900x900/20231208_XYECONN-XY-MX1-25-31_C19274279_front.jpg
