LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.
C7467249,FRM121WFR050TM,FOJAN,-,1206,1W 50mΩ Current Sense Resistor ±50ppm/℃ ±1% 1206 Current Sense Resistors RoHS,YES,20,0.0287,0.57,,
C5337043,0.5K-1.5W-8PWB,HDGC,,"SMD,P=0.5mm,Surface Mount,Right Angle","FFC/FPC Connector 8 Position 0.5mm Pitch Double-Sided Contacts, Top and Bottom Entry Surface Mount, Right Angle",YES,5,0.1389,0.69,,
C20611671,MS-22D17AG2.5-B,HOOYA,-,"SMD,P=2.5mm",Slide Switch 1A @ 24V Surface Mount,YES,5,0.121,0.61,,
C37635067,FC-058P-100T3,JXTCONN,,-,"Flat Flex Jumpers, Cables (FFC, FPC) Assemblies ",NO,10,0.0427,0.43,,
C37635048,FC-0518P-100F3,JXTCONN,,-,"Flat Flex Jumpers, Cables (FFC, FPC) Assemblies ",NO,5,0.0471,0.24,,
C5139822,AFH34-S08FIA-1H,JUSHUO,,"SMD,P=0.5mm,Surface Mount,Right Angle","FFC/FPC Connector 8 Position 0.5mm Pitch Double-Sided Contacts, Top and Bottom Entry Surface Mount, Right Angle",YES,10,0.0722,0.72,,
C42445258,HW0520010-182R-001,ZGWD,,"SMD,P=0.5mm,Surface Mount,Right Angle","FFC/FPC Connector 18 Position 0.5mm Pitch Double-Sided Contacts, Top and Bottom Entry Surface Mount, Right Angle -25℃~+85℃",YES,5,0.1176,0.59,,
C11355,FSUSB42MUX,onsemi,,MSOP-10,3V~4.4V 720MHz 2 3.9Ω 2:1 MSOP-10 Analog Switches - Special Purpose RoHS,YES,10,0.2968,2.97,,
C464250,NSI45060JDT4G,onsemi,,DPAK,PWM 100mA 1 DPAK Current Regulation/Management RoHS,YES,3,0.6039,1.81,,
C963205,MS-22D28-G020,G-Switch,-,"SMD,7.1x4mm",Slide Switch DPDT 1A @ 6V Surface Mount Rectangular Columnar 7.1mm,YES,5,0.1177,0.59,,
C963206,MK-12C02-G020,G-Switch,-,"SMD,6.6x1.4mm","Slide Switch SPDT 1A @ 6V Surface Mount, Right Angle Rectangular Columnar 6.6mm",YES,5,0.1185,0.59,,
C22387963,EFVH010ADA101M0552,FOLLON,-,"SMD,D5xL5.2mm",100uF ±20% 10V Aluminum Electrolytic Capacitors,YES,10,0.0407,0.41,,
C37635077,FC-0518P-100T3,JXTCONN,,-,"Flat Flex Jumpers, Cables (FFC, FPC) Assemblies ",NO,5,0.045,0.23,,
C167753,FNR3015S4R7MT,cjiang,-,"SMD,3x3mm","1.3A 4.7uH 1.4A 163mΩ Magnetic Shielded Inductor ±20% SMD,3x3mm Fixed Inductors RoHS",YES,20,0.0735,1.47,,
C167756,FNR3015S6R8MT,cjiang,-,"SMD,3x3mm","1.1A 6.8uH 1.1A 260mΩ Magnetic Shielded Inductor ±20% SMD,3x3mm Fixed Inductors RoHS",YES,10,0.0735,0.74,,
C48735790,WL0540013-080R-001,ZGWD,,"SMD,P=0.5mm(Staggered Pins)",FFC/FPC Connector 8 Position 0.5mm Pitch Single-side Contact/Vertical Surface Mount -25℃~+85℃,YES,5,0.089,0.45,,
C128367,NSI45020AT1G,onsemi,-,SOD-123,PWM 20mA 1 SOD-123 Current Regulation/Management RoHS,YES,15,0.0999,1.50,,
C2835376,SZT3535UVC-K1PC,PARALIGHT,-,SMD3535-2P,"5V 4mW 40mA 275nm 7.5V 250mW SMD3535-2P LED Emitters - Infrared, UV, Visible RoHS",YES,5,1.2109,6.05,,
C42431288,CH32V006F8U6,WCH,-,QFN-20(3x3),QFN-20(3x3) Microcontrollers RoHS,YES,5,0.2643,1.32,,
C22383776,VT1V470M0605,ACMECON,-,"SMD,D6.3xL5.4mm",47uF ±20% 35V Aluminum Electrolytic Capacitors,YES,20,0.0268,0.54,,
C2843876,XL-2835UWC-02,XINGLIGHT,-,SMD2835-2P,White LED Indication - Discrete 3.4V SMD2835-2P,YES,50,0.0092,0.46,,
C52145173,MM3Z15V,YTL,-,SOD-323,300mW 1 Independent 14.3V~15.8V 15V SOD-323 Single Zener Diodes RoHS,YES,50,0.0074,0.37,,
C37635038,FC-058P-100F3,JXTCONN,,-,"Flat Flex Jumpers, Cables (FFC, FPC) Assemblies ",NO,5,0.0427,0.21,,
C261457,MF0703002M4BP0CST0,STE,-,"Through Hole,P=5mm","NTC Thermistor 3Ω Through Hole,P=5mm",YES,10,0.0584,0.58,,
C22466451,XC6220B331MR,TDSEMIC,-,SOT-23-5,Linear Voltage Regulator IC Positive Fixed 1 Output 300mA SOT-23-5,YES,20,0.0367,0.73,,
C2870151,INA229AQDGSRQ1,TI,,VSSOP-10-0.5mm,-300mV~85V 300nV 100pA VSSOP-10-0.5mm Current Regulation/Management RoHS,YES,2,5.0955,10.19,,
C136395,MCP41010T-I/SN,MICROCHIP,-,SOIC-8-150mil,-40℃~+85℃ SPI 10kΩ SOIC-8-150mil Digital Potentiometers RoHS,YES,1,1.5938,1.59,,
C167747,FNR3015S2R2MT,cjiang,-,"SMD,3x3mm","2A 2.2uH 2A 78mΩ Magnetic Shielded Inductor ±20% SMD,3x3mm Fixed Inductors RoHS",YES,20,0.0735,1.47,,
C696092,532610471,MOLEX,-,"SMD,P=1.25mm,Surface Mount,Right Angle","Connector Header 4 position 1.25mm Pitch 1A Surface Mount, Right Angle -40℃~+105℃",YES,10,0.1323,1.32,,
C485916,TPS2121RUXR,TI,,VQFN-HR-12(2x2.5),"56mΩ VQFN-HR-12(2x2.5) OR Controllers, Ideal Diodes RoHS",YES,1,0.9386,0.94,,
C46061833,CH224Q,WCH,-,DFN-10-EP(2x2),Power Receiver Controller 1C 140W DFN-10-EP(2x2) Power Management - Specialized RoHS,YES,5,0.4286,2.14,,
C42420608,TCA9555PWR(UMW),UMW,-,TSSOP-24,16 I2C TSSOP-24 I/O Expanders RoHS,YES,5,0.3596,1.80,,
